DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2022.11.23	10:00:00	1744.19	1744.70	1742.63	1742.96	2218	0	10
2022.11.23	10:15:00	1742.96	1743.01	1741.52	1742.16	1800	0	10
2022.11.23	10:30:00	1742.16	1742.80	1740.09	1740.41	1910	0	10
2022.11.23	10:45:00	1740.36	1740.84	1739.36	1739.38	1485	0	10
2022.11.23	11:00:00	1739.38	1739.60	1736.00	1736.05	1983	0	10
2022.11.23	11:15:00	1736.08	1738.11	1735.55	1737.76	1650	0	10
2022.11.23	11:30:00	1737.73	1739.23	1737.02	1738.83	1482	0	10
2022.11.23	11:45:00	1738.83	1740.16	1738.06	1739.53	1576	0	10
2022.11.23	12:00:00	1739.56	1739.76	1735.82	1736.01	1583	0	10
2022.11.23	12:15:00	1736.02	1736.43	1734.46	1735.68	1331	0	10
2022.11.23	12:30:00	1735.70	1737.25	1735.16	1736.85	1416	0	10
2022.11.23	12:45:00	1736.85	1737.26	1736.34	1737.15	1090	0	10
2022.11.23	13:00:00	1737.15	1738.12	1736.57	1737.22	1346	0	10
2022.11.23	13:15:00	1737.22	1738.53	1736.60	1738.42	1234	0	10
2022.11.23	13:30:00	1738.42	1738.45	1737.27	1738.06	1254	0	10
2022.11.23	13:45:00	1738.04	1739.78	1737.99	1739.45	1437	0	10
2022.11.23	14:00:00	1739.45	1739.59	1738.43	1738.83	1499	0	10
2022.11.23	14:15:00	1738.82	1739.05	1737.32	1737.72	1342	0	10
2022.11.23	14:30:00	1737.72	1738.53	1737.23	1737.34	1787	0	10
2022.11.23	14:45:00	1737.35	1737.52	1736.32	1736.73	1598	0	10
2022.11.23	15:00:00	1736.72	1737.43	1735.28	1737.36	2484	0	10
2022.11.23	15:15:00	1737.35	1737.36	1734.02	1734.36	2560	0	10
2022.11.23	15:30:00	1734.47	1740.11	1728.48	1734.20	4771	0	10
2022.11.23	15:45:00	1734.08	1737.89	1732.09	1736.83	3446	0	10
2022.11.23	16:00:00	1736.83	1739.62	1735.62	1738.34	3104	0	10
2022.11.23	16:15:00	1738.33	1738.67	1736.04	1736.60	2701	0	10
2022.11.23	16:30:00	1736.67	1737.34	1735.79	1736.39	3331	0	10
2022.11.23	16:45:00	1736.22	1747.63	1736.22	1742.57	5578	0	10
2022.11.23	17:00:00	1742.65	1744.00	1739.05	1739.81	4765	0	10
2022.11.23	17:15:00	1739.84	1742.37	1738.53	1740.68	3768	0	10
2022.11.23	17:30:00	1740.71	1742.58	1740.50	1742.33	3322	0	10
2022.11.23	17:45:00	1742.42	1743.94	1741.61	1743.41	3013	0	10
2022.11.23	18:00:00	1743.41	1743.83	1741.53	1743.34	2503	0	10
2022.11.23	18:15:00	1743.35	1743.63	1741.98	1743.08	1927	0	10
2022.11.23	18:30:00	1743.14	1743.44	1742.34	1742.87	1889	0	10
2022.11.23	18:45:00	1742.88	1742.90	1741.14	1742.34	1838	0	10
2022.11.23	19:00:00	1742.35	1743.17	1741.32	1742.93	1737	0	10
